Order ID,Order Date,Customer ID,Product Category,Sales,Profit,Quantity,Region,State,Ship Date
ORD-100001,2024-10-16,CUST-1285,Office Supplies,1488.27,15.18,2,West,California,2024-10-17
ORD-100002,2024-11-23,CUST-1061,Technology,192.14,17.27,4,East,Virginia,2024-11-29
ORD-100003,2023-08-27,CUST-2330,Office Supplies,72.54,-0.76,9,South,North Carolina,2023-09-01
ORD-100004,2024-03-05,CUST-1013,Technology,1186.75,313.59,7,East,Florida,2024-03-07
ORD-100005,2023-12-15,CUST-1209,Technology,446.32,108.71,7,West,Oregon,2023-12-18
ORD-100006,2023-04-10,CUST-2494,Furniture,1215.38,319.9,9,Central,Minnesota,2023-04-13
ORD-100007,2023-05-08,CUST-2266,Furniture,1113.04,304.12,10,West,Washington,2023-05-12
ORD-100008,2023-07-16,CUST-1592,Technology,110.73,0.28,4,West,Washington,2023-07-22
ORD-100009,2023-04-14,CUST-1333,Furniture,917.75,252.7,6,Central,Illinois,2023-04-18
ORD-100010,2023-08-03,CUST-1146,Office Supplies,1409.6,292.63,3,Central,Illinois,2023-08-09
ORD-100011,2024-06-30,CUST-2895,Office Supplies,343.54,24.31,9,Central,Texas,2024-07-06
ORD-100012,2023-08-13,CUST-1469,Technology,1688.85,420.86,6,Central,Minnesota,2023-08-19
ORD-100013,2024-02-15,CUST-2794,Office Supplies,437.75,141.97,6,West,Washington,2024-02-18
ORD-100014,2023-08-06,CUST-1939,Technology,803.35,250.28,5,East,Florida,2023-08-12
ORD-100015,2023-05-23,CUST-2197,Furniture,1131.51,20.63,10,South,Tennessee,2023-05-25
ORD-100016,2024-02-13,CUST-2010,Technology,1994.71,-75.3,1,Central,Texas,2024-02-16
ORD-100017,2023-04-23,CUST-2221,Technology,336.76,69.45,7,South,Georgia,2023-04-25
ORD-100018,2024-01-26,CUST-2762,Technology,1067.65,359.78,2,East,Florida,2024-01-31
ORD-100019,2024-11-29,CUST-1601,Furniture,1541.83,81.84,3,Central,Illinois,2024-12-04
ORD-100020,2024-04-09,CUST-2025,Technology,1754.19,32.5,9,South,Tennessee,2024-04-10
ORD-100021,2023-04-19,CUST-2247,Technology,610.92,114.56,3,South,Georgia,2023-04-26
ORD-100022,2024-01-18,CUST-2086,Technology,1087.97,272.41,10,West,Oregon,2024-01-25
ORD-100023,2023-11-28,CUST-2703,Furniture,241.5,15.3,4,West,California,2023-12-02
ORD-100024,2023-03-01,CUST-1995,Technology,1894.96,-116.46,9,South,North Carolina,2023-03-03
ORD-100025,2023-05-09,CUST-1542,Office Supplies,961.06,141.67,10,South,Georgia,2023-05-11
ORD-100026,2024-03-09,CUST-2460,Furniture,1515.43,318.91,7,East,Virginia,2024-03-11
ORD-100027,2024-11-18,CUST-1247,Technology,887.44,117.95,4,Central,Minnesota,2024-11-24
ORD-100028,2023-03-07,CUST-1451,Technology,1184.85,4.21,2,West,California,2023-03-10
ORD-100029,2024-12-25,CUST-2760,Furniture,473.3,145.51,2,West,California,2024-12-31
ORD-100030,2024-06-10,CUST-1270,Office Supplies,1344.58,-4.83,10,Central,Illinois,2024-06-12
ORD-100031,2024-08-13,CUST-1389,Technology,1573.55,414.43,2,Central,Texas,2024-08-17
ORD-100032,2024-11-05,CUST-2493,Technology,858.69,94.59,2,Central,Minnesota,2024-11-09
ORD-100033,2023-03-04,CUST-1509,Technology,691.82,199.07,4,South,Tennessee,2023-03-08
ORD-100034,2024-07-03,CUST-1511,Technology,855.33,21.68,8,West,Oregon,2024-07-07
ORD-100035,2024-07-17,CUST-1030,Technology,1311.25,187.86,4,West,California,2024-07-18
ORD-100036,2023-06-20,CUST-2848,Technology,973.09,281.31,3,East,Florida,2023-06-24
ORD-100037,2024-01-24,CUST-1931,Furniture,545.1,137.82,7,East,New York,2024-01-25
ORD-100038,2024-12-14,CUST-1388,Furniture,1330.51,158.33,4,East,Virginia,2024-12-20
